requirement_id,risk_id,implementation,api,test_id,result
AUTH-REQ-01,R-AUTH-BYPASS,backend/app/core/auth.py;backend/app/main.py,POST /api/auth/demo-token,TEST-AUTH-SIGNED-SESSION,PASS
AUTH-REQ-02,R-STOLEN-TOKEN,backend/app/core/auth.py;frontend/src/api.ts,GET /api/auth/me,TEST-AUTH-EXPIRY,PASS
AUTH-REQ-03,R-ROLE-FORGERY,backend/app/main.py,protected APIs,TEST-AUTH-ENFORCED-RBAC,PASS
AUTH-REQ-04,R-SECRET-LEAK,backend/app/services/consistency/auth_checks.py,security events,TEST-AUTH-NO-TOKEN-LOG,PASS
AUTH-REQ-05,R-AUTH-SEMANTICS,backend/app/main.py;frontend/src/api.ts,protected APIs,TEST-AUTH-STATUS,PASS
AUTH-REQ-06,R-CLIENT-TOKEN-LEAK,frontend/src/api.ts;frontend/src/AuthPanel.tsx,POST /api/auth/logout,TEST-AUTH-PANEL,PASS
DIF-01,R-ROUTE-01,backend/app/services/differentiators.py,POST /api/predictions,test_synthetic_dicom_and_ood,PASS
DIF-02,R-QUALITY-01,backend/app/services/quality.py,POST /api/predictions,test_quality_flags_flat_image,PASS
DIF-03,R-OOD-01,backend/app/services/differentiators.py,POST /api/predictions,test_synthetic_dicom_and_ood,PASS
DIF-04,R-META-01,backend/app/services/differentiators.py,POST /api/predictions,test_synthetic_dicom_and_ood,PASS
DIF-05,R-PRIV-01,backend/app/main.py,GET /api/active-learning/export.csv,test_review_update,PASS
DIF-06,R-MODEL-01,backend/app/services/differentiators.py,POST /api/model-comparison,test_model_comparison_is_explicitly_mock,PASS
DIF-08,R-TEST-01,backend/app/services/synthetic_dicom.py,GET /api/demo/synthetic-dicom,test_synthetic_dicom_and_ood,PASS
DIF-12,R-PRIV-02,backend/app/main.py,GET /api/predictions/{id}/report.pdf,test_review_update,PASS
